time,tokens
2024-01-26 13:02:00,1003
2024-01-26 13:05:44,1003
2024-01-26 13:05:51,1108
2024-01-26 13:05:53,1080
2024-01-26 13:05:56,1114
2024-01-26 13:05:58,1139
2024-01-26 13:05:59,1162
2024-01-26 13:06:03,1440
2024-01-26 13:06:15,2328
2024-01-26 14:26:28,1003
2024-01-26 14:26:39,1098
2024-01-26 14:26:41,1111
2024-01-26 14:26:42,1134
2024-01-26 14:26:45,1122
2024-01-26 14:26:53,1171
2024-01-26 14:27:06,1855
2024-01-26 14:27:19,2261
2024-01-26 19:18:11,592
2024-01-26 19:18:18,690
2024-01-26 19:18:23,722
2024-01-26 19:18:24,687
2024-01-26 19:18:24,926
2024-01-26 19:18:26,715
2024-01-26 19:18:27,743
2024-01-26 19:18:48,1885
2024-01-26 19:18:55,733
2024-01-26 19:18:57,670
2024-01-26 19:19:00,709
2024-01-26 19:19:00,712
2024-01-26 19:19:02,706
2024-01-26 19:19:31,974
2024-01-26 19:19:40,1436
2024-01-26 19:19:45,673
2024-01-26 19:19:52,711
2024-01-26 19:19:54,663
2024-01-26 19:19:57,694
2024-01-26 19:20:00,735
2024-01-26 19:20:16,1045
2024-01-26 19:20:37,1517
2024-01-26 20:25:59,592
2024-01-26 20:26:12,688
2024-01-26 20:26:12,738
2024-01-26 20:26:12,694
2024-01-26 20:26:13,730
2024-01-26 20:26:13,724
2024-01-26 20:26:20,792
2024-01-26 20:26:38,1503
2024-01-26 20:52:38,592
2024-01-26 20:52:45,767
2024-01-26 20:52:47,686
2024-01-26 20:52:47,691
2024-01-26 20:52:50,714
2024-01-26 20:52:55,702
2024-01-26 20:53:25,879
2024-01-26 20:53:33,1461
2024-01-26 21:03:02,592
2024-01-26 21:03:08,704
2024-01-26 21:03:09,697
2024-01-26 21:03:10,752
2024-01-26 21:03:12,679
2024-01-26 21:03:13,680
2024-01-26 21:03:15,907
2024-01-26 21:03:22,1478
2024-01-26 21:03:29,724
2024-01-26 21:03:29,713
2024-01-26 21:03:32,683
2024-01-26 21:03:40,658
2024-01-26 21:03:47,711
2024-01-26 21:03:57,997
2024-01-26 21:04:09,1491
2024-01-26 21:04:14,713
2024-01-26 21:04:18,672
2024-01-26 21:04:20,735
2024-01-26 21:04:20,679
2024-01-26 21:04:27,727
2024-01-26 21:04:38,876
2024-01-26 21:05:08,1570
2024-01-26 21:05:13,666
2024-01-26 21:05:14,714
2024-01-26 21:09:08,592
2024-01-26 21:09:15,746
2024-01-26 21:09:19,679
2024-01-26 21:09:19,709
2024-01-26 21:09:19,710
2024-01-26 21:09:21,678
2024-01-26 21:09:36,937
2024-01-26 21:09:50,1549
2024-01-26 21:18:14,592
2024-01-26 21:18:23,682
2024-01-26 21:18:24,722
2024-01-26 21:18:26,679
2024-01-26 21:18:27,721
2024-01-26 21:18:27,723
2024-01-26 21:18:49,1010
2024-01-26 21:18:53,982
2024-01-26 21:18:58,714
2024-01-26 21:19:03,672
2024-01-26 21:19:03,697
2024-01-26 21:19:04,712
2024-01-26 21:19:05,737
2024-01-26 21:20:06,592
2024-01-26 21:20:13,730
2024-01-26 21:20:14,662
2024-01-26 21:20:17,688
2024-01-26 21:20:19,738
2024-01-26 21:20:20,696
2024-01-26 21:20:22,979
2024-01-26 21:22:16,592
2024-01-26 21:23:04,592
2024-01-26 21:23:09,672
2024-01-26 21:23:13,790
2024-01-26 21:23:13,663
2024-01-26 21:23:17,719
2024-01-26 21:23:19,741
2024-01-26 21:23:20,740
2024-01-26 21:23:36,1450
2024-01-26 21:23:44,710
2024-01-26 21:23:45,666
2024-01-26 21:23:47,706
2024-01-26 21:23:49,739
2024-01-26 21:23:52,773
2024-01-26 21:24:10,1030
2024-01-26 21:24:19,1487
2024-01-26 21:32:25,592
